id;group_id;first_name;last_name;email;phone_number;hire_date
ddfa7147-c341-4f8e-9315-b314857e9293;02019634-22bc-4491-93ac-b067222652a2;Triston;Heathcote;Odie_Bogan@gmail.com;Tools;2021-10-06T14:54:57
56d22267-d621-4ae7-921e-243cce747d51;e70eff3f-384a-4247-928a-12075a3314ea;Jena;Mante;Darien44@hotmail.com;implement;2021-10-06T17:05:58
3314568d-36dd-494e-b002-cc12f8de47d3;e3150be8-30ab-4932-aea4-6e33f6a75b50;Murphy;Rempel;Jeremy.Pollich4@hotmail.com;Indiana platforms Zimbabwe;2021-10-07T01:41:56
39e5c075-80a8-4bb2-b543-9745482ba8ab;be5979fb-b5e5-4675-8156-ddd14e3ccf7f;Danny;Hand;Deion_Ebert5@gmail.com;world-class firewall;2021-10-06T13:40:24
bffd6293-39f3-4620-a8f5-5cb4955a59bb;47489c5e-5d93-4aa2-a698-2b575612dfb2;Charles;O'Hara;Magdalen50@hotmail.com;Minnesota Profound;2021-10-07T03:29:56
7fd07117-5c01-400c-bf54-a1589adcfdbb;64ddac83-89c6-4ca0-9344-74de672bfd5b;Randi;Marvin;Beatrice_Barton18@hotmail.com;strategic actuating;2021-10-06T13:33:01
ec477cf9-37ad-47bd-9e9f-383f0a69a2eb;f5313e90-f24d-46cc-83d0-aaea9f8171f8;Avis;Little;Jude98@yahoo.com;pixel;2021-10-07T09:22:32
d20d646a-f152-4cf8-bb39-84930d5be390;7c979963-999b-4dc9-a855-b49d67349dd7;Alexanne;Schroeder;Aron.Wisoky99@yahoo.com;mobile user-centric;2021-10-07T05:31:51
aea96379-7ad8-4df5-88c4-7a0cbe5249db;ca56d9f7-d8e6-4c5b-910c-a345eb99ce49;Lonzo;Ryan;Vanessa_Kuhic@yahoo.com;Multi-channelled;2021-10-06T16:52:39
e718f51c-c99a-4be2-a8ae-7be81b18e998;a443d5fd-f26b-4129-9ef4-8cc069f49337;Arely;Cummerata;Brandyn_Shields62@gmail.com;Hills;2021-10-06T18:13:01
